ID,FAM_ID,FAM_ID2,SUBJ_ID,IMMGROUP,SEX,RELATION,IMM_YR,AGE,HD_LNG,HD_WDT,BIZYG,STATURE,CEPHALIC,WFI,EYECOLOR,HAIRCOL,GENERAT,USBORN,PAGE_NUM
114,140,140_4,957,1,0,M,1896,33,177,142,133,152,80.23,93.66,2,3,0,0,4
115,140,140_4,958,1,0,D,-999,9,176,139,119,128,78.98,85.61,1,15,1,1,4
116,140,140_4,959,1,0,D,-999,8,165,139,116,115,84.24,83.45,2,10,1,1,4
117,140,140_4,960,1,0,D,-999,6,168,137,110,109,81.55,80.29,2,10,1,1,4
118,140,140_4,961,1,0,D,-999,6,167,138,115,109,82.63,83.33,2,11,1,1,4
119,1024,1024_4,4095,1,1,F,1893,53,195,152,137,175.5,77.95,90.13,2,0,0,0,4
120,1024,1024_4,4096,1,0,M,1898,42,189,150,135,163,79.37,90,2,1,0,0,4
121,1024,1024_4,4098,1,1,S,1900,24,198,154,134,176.5,77.78,87.01,2,2,1,0,4
122,1024,1024_4,4099,1,1,S,1898,21,197,148,135,175.5,75.13,91.22,2,7,1,0,4
123,1024,1024_4,4097,1,1,S,-999,5,181,142,110,105.5,78.45,77.46,2,5,1,1,4
124,1024,1024_4,4100,1,0,D,1898,18,184,146,127,157,79.35,86.99,2,2,1,0,4
125,227,227_5,871,1,1,F,1906,53,193,149,144,174.5,77.2,96.64,2,0,0,0,5
126,227,227_5,872,1,0,M,1906,50,177,141,132,151.5,79.66,93.62,2,2,0,0,5
127,227,227_5,873,1,1,S,1906,21,189,148,135,166,78.31,91.22,2,2,1,0,5
128,227,227_5,874,1,0,D,1906,19,187,153,140,163,81.82,91.5,2,3,1,0,5
129,227,227_5,875,1,0,D,1906,16,188,143,130,163,76.06,90.91,2,3,1,0,5
130,227,227_5,876,1,0,D,1906,.,175,140,125,147,80,89.29,2,4,1,0,5
131,113,113_5,448,1,1,F,1905,43,192,154,142,170.5,80.21,92.21,2,0,0,0,5
132,113,113_5,449,1,0,M,1905,35,187,151,137,160,80.75,90.73,2,2,0,0,5
133,113,113_5,452,1,1,S,1905,12,187,143,128,148,76.47,89.51,2,1,1,0,5
134,113,113_5,451,1,0,D,1905,15,185,158,139,157,85.41,87.97,2,2,1,0,5
135,113,113_5,450,1,0,D,1905,10,180,143,121,133.7,79.44,84.62,2,2,1,0,5
136,113,113_5,453,1,0,D,1905,9,168,140,116,95,83.33,82.86,2,2,1,0,5
137,583,583_5,3039,1,1,F,1901,30,209,146,144,176.5,69.86,98.63,2,-,0,0,5
138,583,583_5,3038,1,0,M,1903,30,179,137,128,152,76.54,93.43,2,5,0,0,5
139,583,583_5,3035,1,1,S,1903,9,181,144,127,130.5,79.56,88.19,2,13,1,0,5
140,583,583_5,3036,1,1,S,-999,5,169,136,109,106,80.47,80.15,2,14,1,1,5
141,583,583_5,3037,1,1,S,-999,4,169,135,104,92.5,79.88,77.04,2,14,1,1,5
142,53,53_5,626,1,1,F,1907,53,199,143,134,168.8,71.86,93.71,3,2,0,0,5
143,53,53_5,627,1,0,M,1907,53,178,133,127,150.5,74.72,95.49,1,10,0,0,5
144,53,53_5,629,1,1,S,1908,18,192,147,131,159,76.56,89.12,5,6,1,0,5
145,53,53_5,628,1,0,D,1906,25,174,138,129,154.5,79.31,93.48,2,5,1,0,5
146,53,53_5,630,1,0,D,1906,14,176,138,128,148.5,78.41,92.75,3,10,1,0,5
