Year,NestID,social,EPP,condition,mass,tarsus,wing,Kipp,notch,tail,asym,functional,ornament,FlankL,FlankA,FlankB,WingL,WingA,WingB
2013,13,ID253192055,y,1.226868742,36.3,18.7,121,17,23.8,28,8,79.4,153.6,68.89,15.53,34.7,45.51,31.26,34.18
2014,60,ID253192411,n,3.836441194,41.08,19.6,127,18,21.4,28,2,79.3,153.7,75.55,11.54,27.04,48.5,31.39,32.97
2012,5,ID230104629,y,3.747831984,40.4,19.3,124.5,19,22.7,26,1,75.5,154.5,70.5,16.47,30.56,41.31,39.81,42.05
2013,12,ID230104629,n,3.747831984,40.4,19.3,124.5,19,22.7,26,1,75.5,154.5,70.5,16.47,30.56,41.31,39.81,42.05
2014,59,ID253192464,y,1.872221509,36.8,18.1,122,14,19.5,27,5,76,155,73,14.52,31.07,44.77,38.07,42.37
2012,3,ID230104629,y,2.744338111,39.8,18.8,125,23,23.3,29,5,74.3,159.7,70.5,16.47,30.56,41.31,39.81,42.05
2012,4,ID230104629,y,2.744338111,39.8,18.8,125,23,23.3,29,5,74.3,159.7,70.5,16.47,30.56,41.31,39.81,42.05
2012,7,ID230104867,n,4.453632577,37.5,19.6,125,23,21.9,30,8,77.4,160.6,73.31,15.61,33.12,44.02,38.09,39.9
2012,2,ID230104629,y,1.818761431,40.5,19,126.5,23,19.3,29,7,72.5,161.5,70.5,16.47,30.56,41.31,39.81,42.05
2014,24,ID230104867,y,4.375715383,38.8,19.3,126,23,21.8,31,5,77.2,161.8,73.31,15.61,33.12,44.02,38.09,39.9
2013,35,ID253192177,y,-0.603321375,41.7,18.4,123,23,18.7,32,8,77.8,163.2,68.93,12.05,28.22,38.45,35.13,35.37
2013,40,ID253192177,y,-0.603321375,41.7,18.4,123,23,18.7,32,8,77.8,163.2,68.93,12.05,28.22,38.45,35.13,35.37
2014,52,ID253192177,n,-0.603321375,41.7,18.4,123,23,18.7,32,8,77.8,163.2,68.93,12.05,28.22,38.45,35.13,35.37
2012,28,ID230104790,y,-0.762649637,37,18.5,120.5,23,20.5,30,12,70.7,167.3,72.96,18.07,35.77,45.74,38.3,42.91
2013,37,ID253192049,y,5.09549147,38.6,18.5,126.5,13,22.4,36,2,84,171.2,72.7,17.29,33.72,55.28,22.22,27.68
2013,41,ID253192049,n,5.09549147,38.6,18.5,126.5,13,22.4,36,2,84,171,72.7,17.29,33.72,55.28,22.22,27.68
2013,44,ID253192013,y,0.000104907,33.8,17.3,118,11,19.3,33,14,71.7,176.3,81.84,4.99,22.47,46.25,36.63,43.71
2014,47,ID253192013,y,0.000104907,33.8,17.3,118,11,19.3,33,14,71.7,176.3,81.84,4.99,22.47,46.25,36.63,43.71
2014,25,ID253192094,y,4.747831984,39.4,18.8,125,21,23.6,34,2,71.8,177.2,72.89,17.39,34.1,39.9,40.11,41.14
2013,15,ID253192094,n,3.028055897,40.5,18.9,127.5,22,23,35,9,71.7,179.3,69.92,15.31,32.64,41.54,38.65,39.23
2014,54,ID175198195,n,3.659433169,37.1,17.7,124,19,21.9,36,9,75.7,179.3,72.25,16.22,32.02,40.43,43.32,42.96
2013,11,ID175198232,n,1.662927043,37.8,18.8,122.5,20,19.6,37,2,73.3,182.7,74.36,14.92,35.33,42.49,41,42.82
2014,26,ID175198288,y,2.893184751,41,18.9,126,19,21.3,38,5,79.3,186.7,74.33,13.14,31.8,41.08,38.69,42.38
