nest,sMale,sCond,sTarsus,sWing,sNotch,sTail,sAsym,cMale,cCond,cTarsus,cWing,cNotch,cTail,cAsym,sFunc,sOrn,cFunc,cOrn,sMass,cMass
WM1021,230104720,-0.337072957,17.8,120.5,19.5,210,,230104718,3.542031392,19.3,127.5,22.3,210,0,72.4,137.6,77.3,132.7,37.8,42.2
WM1027,230104725,5.747831984,20.1,128.5,23.5,260,,230104628,3.602479217,18.2,126,19.3,269,4,76.3,183.7,80,189,40.5,40
WM1035,230104748,8.517574276,20.1,129,23.4,235,26,230104891,2.375715383,18.9,123,20.8,231,0,74.5,160.5,75.4,155.6,37.3,37.5
WM1151,230104781,11.08500985,17.8,131,23.3,224,22,230104725,5.747831984,20.1,128.5,23.5,260,,79.7,144.3,76.3,183.7,36.5,40.5
WM1325,233143023,-1.90450853,19.1,119.5,19.6,182,1,253192096,-4.060342918,17.5,115.5,17.2,204,1,73.8,108.2,72.2,131.8,38.6,36
WM1328,253192010,-7.968450229,18.5,114.5,15.2,141,0,175198112,0.226868742,17.5,120,15,140,3,68.7,72.3,70.7,69.3,40.1,36.3
WM1332,253192177,-0.603321375,18.4,123,18.7,241,3,230104748,8.517574276,20.1,129,23.4,235,26,77.8,163.2,74.5,160.5,41.7,37.3
WM1342,253192049,5.09549147,18.5,126.5,22.4,255,1,253192464,1.872221509,18.1,122,19.5,231,2,84,171,76,155,38.6,36.8
WM1347,253192048,5.683890285,19.8,129.5,24.5,255,4,253192177,-0.603321375,18.4,123,18.7,241,3,80.2,174.8,77.8,136.2,42,41.7
WM1350,230104790,0.230362616,18.5,120.5,20.5,238,8,175198291,-3.911496278,18.3,116.5,17.6,140,,70.7,167.3,70,70,37,37.2
WM1353,253192177,-0.603321375,18.4,123,18.7,241,3,253192197,-4.04287355,19.4,118,20.3,155,3,77.8,163.2,70.5,84.5,41.7,39.5
WM1363,175198124,-1.33008521,19.1,120.5,18.5,224,0,175198125,-1.54287355,19.2,120.5,16.7,215,15,78.3,145.7,75.5,139.5,39.2,39.5
WM1364,253192013,0.000104907,17.3,118,19.3,248,,233143023,-1.90450853,19.1,119.5,19.6,182,1,71.7,176.3,73.8,108.2,33.8,38.6
WM1364,253192013,0.000104907,17.3,118,19.3,248,,253192198,-2.485919598,17.7,117.5,17,134,0,71.7,176.3,67.3,66.7,33.8,36.6
WM1366,175198127,1.372221509,18.8,121.5,19.5,191,3,175198277,-3.266143511,18.2,117.5,21,200,,72.8,118.2,71,129.2,36.8,37.7
WM1366,175198127,1.372221509,18.8,121.5,19.5,191,3,175198125,-1.54287355,18.9,121,20.2,223,3,72.8,118.2,74.2,148.8,36.8,41.5
WM1401,175198168,0.152445422,18.1,119.5,17.4,143,2,175198226,3.375715383,18.5,124,21.3,211,1,72.2,70.8,68.3,142.7,35.7,37.5
WM1401,175198168,0.152445422,18.1,119.5,17.4,143,2,175198126,-2.461462482,18.9,121,20.2,223,3,72.2,70.8,74.2,148.8,35.7,41.5
WM1401,175198168,0.152445422,18.1,119.5,17.4,143,2,253192013,0.000104907,17.3,118,19.3,248,,72.2,70.8,71.7,176.3,35.7,33.8
WM1402,253192013,0.000104907,17.3,118,19.3,248,,253192198,-2.485919598,17.7,117.5,17,134,0,71.7,176.3,67.3,66.7,33.8,36.6
WM1405,175198189,-3.482425724,18.9,117,19.5,223,2,253192177,-0.603321375,18.4,123,18.7,241,3,72.5,150.5,77.8,163.2,37.3,41.7
WM1411,230104812,0.226868742,18.9,119,20.3,215,2,230104790,0.230362616,18.4,120.5,21.3,201,,72.8,142.2,71.3,128.9,37.4,38.4
WM1417,253192458,-3.928965646,17.9,114,17.8,141,3,175198195,3.659433169,17.7,124,21.9,255,4,67.7,73.3,75.7,179.3,33.7,37.1
WM1422,253192451,-1.897520783,19.9,120.5,18.3,189,0,253192464,1.872221509,18.1,122,19.5,231,2,71,118,76,155,40,36.8
WM1423,253192066,-0.337072957,18.5,120.5,21.3,225,,230104891,2.375715383,18.9,123,20.8,231,0,72.5,152.5,75.4,155.6,37.8,37.5
WM1423,253192066,-0.337072957,18.5,120.5,21.3,225,,175198190,-4.840566831,18.7,115.5,14.8,165,1,72.5,152.5,66.7,98.3,37.8,37.1
WM1431,253192464,1.872221509,18.1,122,19.5,231,2,253192417,-0.124284617,17.4,120.5,19.4,221,0,76,155,71.8,149.2,36.8,37.5
WM1431,253192464,1.872221509,18.1,122,19.5,231,2,253192049,5.09549147,18.5,126.5,22.4,255,1,76,155,84,171,36.8,38.6
WM1448,230104790,0.230362616,18.4,120.5,21.3,202,,230104812,0.226868742,18.9,119,20.3,215,2,71.3,128.9,72.8,142.2,38.4,37.4
WM1448,230104790,0.230362616,18.4,120.5,21.3,204,,253192066,-0.337072957,18.5,120.5,21.3,225,,71.3,128.9,72.5,152.5,38.4,37.8
WM1449,253192168,-3.638260112,18.8,115,18.9,212,1,253192013,0.000104907,17.3,118,19.3,248,,68.8,143.2,71.7,176.3,34.7,33.8
WM1451,175198189,-3.482425724,18.9,117,19.5,223,2,253192177,-0.603321375,18.4,123,18.7,241,3,72.5,150.5,77.8,163.2,37.3,41.7
WM1460,175198127,2.304785936,18.6,123,20.8,202,0,253192010,-7.968450229,18.5,114.5,15.2,141,0,73.7,1283,68.7,72.3,37.6,40.1
WM1460,175198127,2.304785936,18.6,123,20.8,202,0,253192177,-0.603321375,18.4,123,18.7,241,3,73.7,128.3,77.8,163.2,37.6,41.7
WM1461,253192409,3.737350363,19.1,125,19.7,219,9,253192096,-4.060342918,17.5,115.5,17.2,204,1,77.2,141.8,72.2,131.8,38.4,36
WM1461,253192409,3.737350363,19.1,125,19.7,219,9,253192411,3.836441194,19.6,127,21.4,233,1,77.2,141.8,79.3,153.7,38.4,41.08
WM1464,264163083,-3.177744695,18.6,120,21.5,214,,253192444,-0.177744695,18.9,123,19.4,156,0,74.8,139.2,74.5,81.5,41.1,41.1
