BOX,FAMILY,PREDATOR,MATE,MASS,ST1,ST2,ST3,SL1,SL2,SL3,Age_Morph,AFR,SFR_Mass,SFR_SL
327,29,P,M,96,0.21,0.21,0.22,9.29,9.39,9.39,95,95,96,9.39
328,10,P,NM,78,0.04,0.08,0.06,9.31,9.24,9.33,95,,,
329,15,NP,M,102,0.22,0.21,0.2,10.02,10.1,10.04,95,72,107,9.82
330,16,P,M,142,0.3,0.3,0.31,10.46,10.46,10.49,95,59,111,9.93
331,5,P,NM,120,0.34,0.32,0.32,10.63,10.61,10.56,95,,,
332,30,NP,NM,108,0.22,0.21,0.23,9.27,9.34,9.28,95,123,113,9.66
333,21,NP,M,77,0.22,0.21,0.21,9.3,9.33,9.3,95,72,82,9.06
334,14,NP,M,33,0.11,0.14,0.14,6.56,6.52,6.52,95,100,28,6.54
335,15,NP,NM,114,0.17,0.17,0.18,9.35,9.41,9.51,95,114,121,10.42
336,21,NP,M,77,0.2,0.19,0.19,8.45,8.55,8.6,95,30,15,5.24
337,6,P,M,94,0.24,0.27,0.28,9.19,9.18,9.2,95,59,85,8.81
338,27,P,NM,63,0.31,0.32,0.31,8.33,8.37,8.39,95,80,68,8.4
339,29,NP,NM,143,0.29,0.29,0.27,10.32,10.37,10.22,95,,,
340,14,P,NM,158,0.29,0.27,0.27,11.02,11.07,10.97,95,,,
341,12,NP,M,24,0.04,0.05,0.04,6.22,6.12,6.24,95,80,22,5.52
342,11,NP,NM,142,0.32,0.31,0.31,10.92,10.87,10.86,95,137,224,12.41
343,29,P,NM,147,0.25,0.26,0.28,10.98,10.99,10.88,95,,,
344,5,NP,M,100,0.21,0.22,0.24,9.16,9.21,9.23,95,95,100,9.16
345,7,NP,M,102,0.15,0.16,0.16,9.69,9.72,9.68,95,86,116,9.75
346,11,P,NM,145,0.41,0.42,0.42,11.12,11.01,11.11,95,,,
347,22,NP,NM,176,0.13,0.13,0.13,11.43,11.49,11.49,95,,,
348,16,P,NM,93,0.33,0.34,0.34,8.91,9.03,9.05,95,,,
349,24,P,NM,109,0.44,0.45,0.48,9.11,9.13,9.19,95,,,
350,3,NP,M,48,0.2,0.22,0.22,7.85,7.89,7.81,95,149,97,9.62
351,22,NP,M,53,0.11,0.11,0.11,7.96,7.97,7.94,95,72,49,7.45
352,19,P,M,87,0.27,0.28,0.27,9.09,9.09,9.08,95,86,96,9.5
353,1,NP,NM,117,0.23,0.21,0.24,9.16,9.16,9.17,95,,,
354,2,NP,NM,49,0.13,0.11,0.13,7.41,7.51,7.42,95,170,193,12.43
355,29,P,M,129,0.35,0.35,0.32,10.13,10.15,10.16,95,100,124,10.17
356,20,P,M,71,0.41,0.4,0.39,8.82,9.03,8.83,95,100,67,9.03
357,18,NP,M,83,0.13,0.15,0.13,8.24,8.16,8.08,95,123,94,9.63
358,6,P,M,56,0.15,0.14,0.15,8.2,8.18,8.18,95,86,55,7.97
359,5,P,NM,69,0.31,0.3,0.31,8.19,8.15,8.23,95,,,
360,1,NP,NM,115,0.13,0.1,0.1,9.78,9.87,9.77,95,139,197,11.22
361,25,NP,M,66,0.1,0.11,0.08,7.81,7.83,7.9,95,72,60,7.76
362,14,NP,M,33,0.04,0.04,0.05,6.49,6.66,6.58,95,72,30,6.51
363,1,NP,M,129,0.12,0.12,0.12,9.88,9.95,9.95,95,67,79,8.39
364,16,P,M,113,0.32,0.33,0.35,9.62,9.61,9.51,95,107,101,9.51
365,20,P,M,122,0.33,0.31,0.31,9.67,9.68,9.67,95,,,
366,3,NP,M,29,0.07,0.09,0.07,5.86,5.86,6.02,95,65,24,5.65
367,4,NP,M,22,0.03,0.03,0.01,5.89,5.9,5.94,95,109,19,6.13
368,24,P,M,73,0.26,0.26,0.26,8.28,8.26,8.28,95,93,74,8.54
369,14,NP,NM,124,0.08,0.08,0.08,10.08,10.06,10.09,95,,,
370,24,P,M,79,0.33,0.36,0.33,8.84,8.91,8.94,95,88,85,8.99
371,13,NP,NM,60,0.16,0.15,0.05,7.9,7.93,7.86,95,,,
372,21,P,NM,106,0.31,0.35,0.33,9.16,9.16,9.12,95,,,
373,14,NP,M,64,0.16,0.13,0.14,8.07,8.13,8.06,95,104,63,8.53
374,13,NP,NM,86,0.14,0.14,0.14,8.94,8.97,8.97,95,275,296,12.46
375,20,P,NM,118,0.35,0.37,0.38,9.77,9.78,9.8,95,,,
376,11,NP,M,88,0.23,0.22,0.24,8.77,8.73,8.81,95,72,62,8.13
377,2,NP,M,85,0.17,0.18,0.2,9.13,9.14,9.14,95,130,78,8.98
378,14,NP,M,48,0.14,0.15,0.14,7.5,7.57,7.58,95,53,15,4.89
379,15,NP,NM,50,0.2,0.2,0.2,8.13,8.17,8.16,95,226,268,12.39
380,6,P,NM,84,0.11,0.09,0.09,9.62,9.58,9.59,95,,,
381,10,NP,NM,143,0.21,0.23,0.2,10.42,10.51,10.38,95,,,
382,20,P,M,95,0.33,0.31,0.32,9.08,9.21,9.11,95,,,
383,5,P,NM,135,0.41,0.41,0.41,10.09,9.99,10.02,95,,,
384,25,NP,NM,156,0.19,0.21,0.2,10.98,11.08,10.97,95,,,
385,21,P,NM,178,0.39,0.38,0.38,10.73,10.86,10.75,95,95,178,10.73
386,15,P,NM,146,0.24,0.27,0.27,9.92,9.96,9.87,95,,,
387,22,NP,NM,36,0.06,0.06,0.07,6.51,6.54,6.58,95,,,
388,23,NP,M,149,0.23,0.23,0.23,10.62,10.65,10.69,95,88,159,10.99
389,3,P,M,70,0.28,0.27,0.27,8.54,8.56,8.53,95,,,
390,8,NP,M,121,0.19,0.2,0.21,10.3,10.28,10.2,95,72,147,11.1
391,28,P,NM,57,0.21,0.23,0.24,7.39,7.42,7.41,95,,,
392,18,NP,M,115,0.21,0.21,0.21,9.96,9.84,9.97,95,100,111,10.13
393,11,P,NM,,,,,,,,,,,
394,10,NP,M,87,0.07,0.09,0.08,9.18,9.16,9.16,95,102,78,9.33
395,4,P,M,67,0.24,0.25,0.24,8.29,8.24,8.39,95,102,82,9.14
396,6,P,M,32,0.1,0.12,0.13,6.64,6.58,6.43,95,116,42,7.26
397,10,P,M,74,0.19,0.21,0.25,8.71,8.88,8.73,80,114,24,5.93
398,17,P,NM,143,0.34,0.34,0.33,10.7,10.67,10.78,95,,,
399,18,P,NM,86,0.21,0.21,0.21,8.87,9.17,9.13,80,149,237,12.35
400,13,P,M,57,0.23,0.23,0.23,7.24,7.24,7.34,95,88,58,7.69
401,17,P,NM,64,0.19,0.2,0.22,8.08,8.1,8.15,95,,,
402,12,NP,NM,46,0.22,0.25,0.26,6.88,6.87,6.96,95,65,36,6.58
403,15,P,NM,83,0.27,0.27,0.28,8.61,8.59,8.54,95,142,129,9.97
404,28,P,M,,,,,,,,,,,
405,28,NP,NM,72,0.22,0.2,0.22,7.83,7.76,7.91,95,83,56,7.52
406,5,NP,M,71,0.17,0.17,0.17,8.44,8.37,8.4,95,95,71,8.44
407,20,P,NM,60,0.27,0.29,0.3,7.98,7.89,8.01,95,41,37,6.88
408,30,P,M,71,0.09,0.09,0.09,8.14,8.14,8.17,95,95,71,8.14
409,27,NP,NM,68,0.19,0.15,0.15,8.42,8.41,8.37,95,48,40,7.02
410,29,P,NM,184,0.16,0.17,0.15,11.24,11.25,11.29,95,,,
411,18,P,NM,50,0.24,0.23,0.24,7.25,7.34,7.24,95,,,
412,12,P,M,53,0.17,0.2,0.17,7.14,7.16,7.14,95,114,56,6.89
413,8,P,M,76,0.24,0.25,0.23,8.4,8.51,8.47,95,20,64,8.08
414,20,NP,M,104,0.23,0.22,0.21,9.09,9.17,9.09,95,59,88,8.88
415,11,NP,M,30,0.07,0.02,0.04,7.59,7.21,7.19,95,59,31,6.13
416,20,NP,NM,181,0.26,0.26,0.27,10.87,10.81,10.76,95,,,
417,6,P,NM,156,0.36,0.37,0.37,11.04,10.96,11.07,95,146,150,11.2
418,27,NP,M,35,0.05,0.04,0.06,6.74,6.66,6.73,95,88,33,6.85
419,8,NP,M,86,0.25,0.25,0.22,9.31,9.37,9.43,95,39,71,8.78
420,30,P,NM,65,0.26,0.28,0.26,7.42,7.48,7.44,95,,,
421,10,NP,M,82,0.16,0.17,0.18,8.7,8.68,8.78,95,83,75,8.67
422,28,NP,M,49,0.02,0.01,0.01,7.3,7.45,7.33,95,95,49,7.3
423,7,P,M,119,0.31,0.34,0.31,9.59,9.55,9.54,95,,,
424,18,P,NM,72,0.33,0.33,0.33,8.58,8.62,8.71,95,59,52,7.45
425,20,NP,M,73,0.15,0.17,0.15,8.41,8.53,8.41,95,93,76,7.9
426,18,P,M,111,0.26,0.26,0.26,10.06,10.01,10.09,95,,,
427,9,NP,NM,66,0.1,0.13,0.1,7.81,7.75,7.86,95,,,
428,3,NP,M,70,0.07,0.13,0.04,8.46,8.61,8.5,95,65,65,8.22
429,23,NP,NM,158,0.26,0.26,0.27,10.83,10.81,10.83,95,,,
430,13,P,M,79,0.07,0.08,0.07,8.56,8.55,8.67,95,109,94,8.78
431,6,P,NM,86,0.17,0.17,0.16,8.84,8.76,8.81,95,,,
432,29,P,M,78,0.3,0.31,0.36,8.59,8.64,8.6,95,100,77,8.66
433,23,NP,NM,229,0.21,0.23,0.25,12.47,12.44,12.48,95,,,
434,22,P,M,155,0.26,0.27,0.28,10.05,10.07,10.07,95,102,152,10.27
435,10,P,NM,71,0.17,0.18,0.19,8.79,8.81,8.87,95,,,
436,13,NP,NM,113,0.25,0.26,0.24,9.22,9.25,9.22,95,156,60,8.33
437,8,P,M,96,0.27,0.29,0.29,10.36,10.25,10.26,95,,,
438,6,NP,M,55,0.14,0.16,0.14,7.75,7.72,7.72,95,80,59,7.81
439,20,P,M,108,0.37,0.4,0.37,9.27,9.34,9.23,95,59,104,9.72
440,17,NP,M,50,0.11,0.14,0.16,7.44,7.41,7.44,95,93,48,7.37
441,23,NP,M,161,0.18,0.2,0.2,10.81,10.83,10.75,95,65,135,10.6
442,5,NP,NM,90,0.13,0.14,0.09,9.63,9.61,9.58,95,,,
443,2,P,M,66,0.19,0.18,0.19,8.66,8.58,8.55,95,100,66,8.82
444,30,NP,NM,37,0.11,0.08,0.07,6.64,6.54,6.51,95,,,
445,29,P,M,158,0.3,0.3,0.29,10.76,10.86,10.76,95,93,155,10.37
446,28,NP,M,21,0.02,0.01,0.01,5.3,5.34,5.4,95,59,22,5.06
447,30,P,NM,110,0.32,0.31,0.29,9.47,9.5,9.6,95,207,190,10.91
448,10,NP,M,95,0.13,0.14,0.15,8.61,8.61,8.58,95,137,37,7.25
449,27,NP,NM,119,0.16,0.16,0.14,9.53,9.46,9.55,95,65,80,8.72
450,8,P,M,61,0.47,0.39,0.48,8.26,8.21,8.09,86,48,65,8.22
451,17,NP,NM,101,0.2,0.2,0.16,9.49,9.4,9.41,95,,,
452,25,NP,M,75,0.17,0.18,0.18,8.83,8.87,8.81,95,72,79,8.85
453,29,P,M,67,0.3,0.3,0.29,8.01,8.14,8.16,95,88,66,8.25
454,13,P,NM,131,0.16,0.14,0.14,9.68,9.67,9.71,95,,,
455,13,NP,M,38,0.07,0.07,0.07,6.51,6.41,6.46,95,100,37,6.99
456,17,P,NM,86,0.18,0.18,0.17,8.3,8.31,9.4,95,,,
457,12,P,M,63,0.2,0.21,0.23,8.19,8.2,8.22,95,102,68,8.82
458,26,NP,M,55,0.12,0.12,0.17,7.31,7.48,7.38,95,116,61,8.15
459,13,P,M,79,0.23,0.22,0.21,8.54,8.47,8.54,95,88,73,8.5
460,2,NP,NM,109,0.18,0.2,0.21,10.24,10.24,10.11,95,190,126,10.86
461,3,P,M,91,0.26,0.27,0.26,8.89,8.96,8.87,95,100,96,9.55
462,15,NP,M,86,0.22,0.22,0.23,9.06,9.07,9.17,95,34,35,6.46
463,8,P,NM,70,0.19,0.21,0.19,8.4,8.39,8.41,95,,,
464,9,NP,M,93,0.18,0.19,0.17,9.49,9.48,9.55,95,30,27,6.06
465,5,NP,NM,101,0.18,0.18,0.17,9.6,9.64,9.51,95,,,
466,6,NP,NM,111,0.06,0.06,0.05,9.88,9.86,9.86,95,,,
467,22,P,NM,126,0.19,0.19,0.19,10,10.03,10.11,95,,,
468,8,P,NM,118,0.28,0.28,0.28,9.69,9.71,9.81,95,,,
469,7,P,NM,115,0.26,0.27,0.28,9.95,9.96,10.06,95,,,
470,21,NP,NM,104,0.13,0.13,0.14,9.7,9.71,9.76,95,167,172,11.52
471,17,NP,M,62,0.16,0.14,0.13,7.76,7.76,7.87,95,65,34,6.99
472,19,P,NM,203,0.44,0.43,0.43,11.6,11.69,11.59,95,,,
473,4,NP,M,76,0.16,0.16,0.17,9.23,9.29,9.31,95,67,83,9.1
474,25,P,M,150,0.23,0.23,0.23,10.78,10.68,10.66,95,74,136,10.13
475,4,NP,NM,18,0.01,0.02,0.01,5.3,5.33,5.37,95,,,
476,9,NP,M,69,0.21,0.21,0.21,8.04,8.08,8.04,95,67,72,8.06
477,1,P,M,97,0.24,0.22,0.21,9.22,9.26,9.2,95,83,98,9.37
478,16,NP,NM,123,0.17,0.19,0.2,9.37,9.34,9.41,95,132,133,9.87
479,15,P,M,104,0.33,0.33,0.32,9.73,9.75,9.46,95,74,110,9.87
480,18,NP,NM,68,0.09,0.08,0.08,8.61,8.63,8.64,95,,,
481,27,P,M,81,0.23,0.21,0.19,9.27,9.27,9.27,95,114,88,9.25
482,21,NP,M,95,0.2,0.2,0.2,9.32,9.4,9.4,95,59,86,9.07
483,24,NP,M,39,0.14,0.18,0.18,7.08,7.05,7.07,95,95,38,7.08
484,23,P,NM,297,0.24,0.25,0.27,13.08,13.11,13.19,95,,,
485,19,NP,NM,178,0.19,0.21,0.19,10.63,10.51,10.55,95,125,211,11.49
486,18,P,NM,63,0.23,0.23,0.22,7.97,8.13,7.97,96,180,140,11.58
487,1,P,M,54,0.23,0.21,0.21,7.25,7.31,7.32,96,100,64,7.99
488,3,P,M,123,0.29,0.26,0.26,9.85,9.79,9.85,96,,,
489,19,NP,M,58,0.13,0.12,0.1,7.88,7.9,7.94,96,95,58,7.88
490,30,NP,M,63,0.04,0.07,0.05,7.94,7.9,7.9,96,,,
491,25,P,M,185,0.31,0.31,0.31,11.27,11.22,11.16,96,102,192,11.63
492,19,NP,NM,98,0.2,0.2,0.22,8.94,9.06,8.91,96,,,
493,2,P,M,,,,,,,,,72,52,7.78
494,26,P,NM,146,0.18,0.17,0.16,10.4,10.43,10.36,96,,,
495,20,P,M,79,0.18,0.17,0.16,8.36,8.35,8.42,96,,,
496,17,NP,M,31,0.06,0.09,0.06,5.96,6.06,6.13,96,72,26,5.94
497,1,NP,NM,55,0.16,0.17,0.18,7.51,7.48,7.61,96,170,172,10.87
498,17,NP,M,94,0.18,0.19,0.13,8.99,9.01,9.02,96,67,72,8.57
499,27,P,M,97,0.26,0.26,0.28,9.56,9.57,9.6,96,80,95,9.62
500,21,P,M,70,0.2,0.12,0.25,7.98,7.94,7.86,83,67,78,9.84
501,13,NP,M,63,0.13,0.12,0.12,7.81,7.81,7.81,96,32,10,4.43
502,10,NP,M,56,0.11,0.09,0.08,8.36,8.42,8.38,96,86,66,8.1
503,1,NP,NM,36,0.14,0.18,0.14,6.38,6.34,6.39,96,170,86,8.81
504,13,P,M,91,0.25,0.25,0.26,8.98,9.04,8.97,96,107,82,8.71
505,12,P,M,64,0.19,0.2,0.15,7.96,8.04,8.05,96,100,67,8.53
506,11,P,M,90,0.21,0.22,0.21,8.92,9.06,8.98,96,109,91,9.33
507,15,NP,M,36,0.1,0.14,0.14,6.7,6.74,6.8,96,142,125,9.5
508,4,P,NM,68,0.19,0.19,0.2,8.63,8.49,8.55,96,,,
509,18,NP,M,21,0.06,0.04,0.04,5.75,5.74,5.83,96,72,17,5.52
510,18,NP,NM,71,0.14,0.15,0.15,8.05,7.96,8.08,96,170,129,10.48
511,29,NP,M,77,0.11,0.13,0.14,8.5,8.49,8.43,96,100,60,8.88
512,24,NP,M,67,0.17,0.17,0.17,7.64,7.73,7.78,96,109,62,7.9
513,4,P,M,112,0.19,0.18,0.19,10.66,10.52,10.61,96,,,
514,7,P,M,162,0.27,0.28,0.27,10.86,10.83,10.8,96,,,
515,14,P,M,136,0.17,0.15,0.16,10.89,10.88,10.91,96,80,147,10.81
516,24,P,M,70,0.27,0.28,0.27,8.33,8.22,8.24,96,86,79,8.73
517,13,P,M,122,0.18,0.19,0.14,9.22,9.37,9.37,96,109,112,9.05
518,13,P,M,116,0.23,0.24,0.24,9.48,9.42,9.46,96,80,103,9.41
519,21,NP,NM,107,0.11,0.14,0.12,9.34,9.31,9.46,96,205,49,7.41
520,24,P,NM,189,0.41,0.42,0.42,11.83,11.81,11.88,96,72,187,11.75
521,11,P,M,64,0.16,0.18,0.16,8.26,8.36,8.24,96,86,62,8.11
522,11,NP,M,64,0.12,0.17,0.15,8.41,8.48,8.55,96,80,61,8.44
523,5,NP,NM,56,0.09,0.1,0.1,5.38,5.28,5.37,96,,,
524,7,NP,M,130,0.22,0.25,0.21,10.36,10.31,10.33,96,93,134,10.55
525,7,NP,M,47,0.1,0.13,0.14,7.41,7.48,7.52,96,67,51,7.47
526,1,P,M,75,0.27,0.23,0.21,8,8.03,8.07,96,80,75,8.57
527,24,NP,NM,11,0.08,0.08,0.07,4.79,4.81,4.83,96,209,80,8.23
528,28,NP,NM,78,0.14,0.17,0.16,8.6,8.48,8.58,96,,,
529,20,P,M,115,0.21,0.21,0.21,9.69,9.63,9.71,96,107,143,10.2
530,22,NP,NM,215,0.19,0.19,0.17,11.55,11.66,11.63,96,,,
531,20,NP,M,74,0.2,0.18,0.18,6.38,6.4,6.36,96,67,32,6.87
532,27,P,NM,96,0.11,0.17,0.11,9.25,9.18,9.26,96,100,104,9.53
533,4,NP,M,30,0.07,0.07,0.03,6.23,6.22,6.2,96,59,21,5.73
534,24,P,M,58,0.16,0.17,0.16,7.56,7.63,7.66,96,86,57,7.51
535,22,NP,NM,157,0.1,0.11,0.09,10.8,10.73,10.73,96,,,
536,27,NP,M,39,0.11,0.11,0.08,7.02,7.06,6.96,96,72,52,7.57
537,26,P,M,71,0.19,0.2,0.19,8.67,8.7,8.71,96,65,61,8.35
538,19,NP,NM,47,0.13,0.12,0.14,7.74,7.81,7.79,96,142,68,8.56
539,5,P,M,86,0.19,0.2,0.22,9.08,9.1,9.28,96,80,95,9.38
540,14,P,M,51,0.18,0.18,0.19,8.29,8.2,8.21,96,,,
541,19,NP,M,44,0.12,0.11,0.1,6.81,6.83,6.9,96,130,38,6.8
542,14,P,M,53,0.32,0.28,0.23,9.03,9.12,8.76,83,100,99,9.62
543,23,P,M,151,0.35,0.36,0.36,11.09,10.98,11.19,96,83,177,10.76
544,1,P,NM,45,0.17,0.17,0.17,6.97,6.97,7.02,96,,,
545,4,NP,NM,153,0.23,0.22,0.2,10.92,11.08,10.98,96,,,
546,13,NP,NM,75,0.13,0.14,0.14,8.2,8.17,8.25,96,149,229,11.81
547,12,P,M,61,0.18,0.18,0.15,7.41,7.47,7.46,96,100,65,8.2
548,12,NP,M,17,0.02,0.04,0.01,5.04,5.09,5.13,96,104,50,7.64
549,12,NP,NM,64,0.15,0.19,0.2,8.38,8.41,8.48,96,,,
550,4,P,M,89,0.19,0.2,0.19,10.07,9.92,9.93,96,,,
551,3,NP,NM,149,0.22,0.24,0.21,10.47,10.48,10.53,96,,,
552,20,P,NM,125,0.4,0.42,0.45,9.6,9.67,9.71,96,67,95,9.47
553,20,NP,NM,209,0.16,0.18,0.17,11.9,11.93,12,96,,,
554,2,P,NM,175,0.32,0.32,0.31,11.83,11.89,11.84,96,,,
555,7,P,NM,174,0.28,0.29,0.3,10.91,11.05,11.09,96,180,261,13.46
556,9,P,M,83,0.34,0.32,0.35,9.03,9.15,9.19,80,59,87,8.61
557,16,P,M,86,0.08,0.07,0.08,8.42,8.41,8.42,96,121,103,9.01
558,21,NP,M,70,0.14,0.12,0.13,8.3,8.31,8.44,96,95,70,8.31
559,6,NP,NM,85,0.07,0.07,0.08,8.67,8.77,8.7,96,,,
560,9,P,M,80,0.25,0.26,0.29,8.75,8.76,8.61,96,65,67,8.41
561,17,P,NM,135,0.34,0.34,0.36,9.9,9.91,9.98,96,,,
562,25,NP,NM,189,0.22,0.21,0.25,10.9,11,10.92,96,135,216,11.32
563,2,P,M,65,0.19,0.24,0.19,8.02,8.05,8.03,88,121,109,10.11
564,7,NP,NM,171,0.15,0.16,0.16,11.24,11.25,11.29,96,,,
565,9,P,NM,84,0.24,0.28,0.28,9.19,8.81,8.87,83,,,
566,2,NP,M,71,0.15,0.13,0.13,7.6,7.6,7.61,96,83,52,8.11
567,30,NP,M,110,0.23,0.22,0.21,9.24,9.11,9.24,96,,,
568,25,P,M,43,0.12,0.13,0.11,7.45,7.7,6.98,80,20,48,7.35
569,4,NP,NM,95,0.11,0.11,0.13,9.52,9.46,9.46,96,,,
570,12,P,NM,99,0.34,0.33,0.35,9.28,9.37,9.41,96,,,
571,14,P,M,43,0.07,0.05,0.06,7.98,8.03,8.1,96,102,45,8.3
572,10,P,M,112,0.18,0.17,0.17,10.73,10.74,10.81,96,,,
573,21,P,M,44,0.24,0.26,0.24,7.77,7.9,7.74,96,72,58,7.56
574,10,NP,M,87,0.18,0.18,0.17,9.3,9.26,9.22,96,144,71,8.77
575,16,NP,M,72,0.14,0.14,0.13,8.17,8.2,8.22,96,93,76,8.21
576,18,P,NM,95,0.15,0.12,0.15,9.29,9.36,9.23,96,,,
577,5,P,M,86,0.2,0.21,0.22,8.89,8.98,8.93,96,80,85,9.17
578,7,NP,NM,64,0.2,0.2,0.17,8.06,7.99,8.01,96,,,
579,28,P,M,87,0.22,0.23,0.25,8.63,8.65,8.73,96,107,85,8.82
580,7,P,NM,203,0.3,0.3,0.31,11.68,11.63,11.68,96,72,191,11.59
581,4,P,M,75,0.04,0.03,0.07,9.04,8.96,9.03,96,135,91,9.65
582,15,P,NM,158,0.14,0.1,0.1,11.4,11.41,11.46,96,,,
583,25,P,NM,203,0.4,0.4,0.43,11.73,11.78,11.79,96,,,
584,9,P,NM,200,0.36,0.35,0.35,11.91,11.81,11.8,96,137,236,12.94
585,20,P,NM,201,0.14,0.11,0.12,11.29,11.3,11.27,96,,,
586,3,P,NM,51,0.26,0.26,0.29,7.87,7.77,7.86,96,,,
587,13,NP,M,45,0.19,0.18,0.17,7.37,7.32,7.19,96,86,44,7.32
588,5,NP,NM,124,0.12,0.14,0.16,9.98,9.93,10.04,96,,,
589,28,NP,M,15,0.01,0.01,0.01,4.23,4.15,4.33,96,,,
590,8,NP,M,10,0.04,0.03,0.04,4.72,,,83,65,12,4.72
591,3,P,M,35,0.21,0.26,0.21,6.51,6.54,6.6,86,,,
592,24,NP,M,82,0.1,0.14,0.14,8.12,8.12,8.26,96,,,
593,29,NP,M,90,0.07,0.02,0.09,9,9.14,9.09,96,65,34,6.47
594,21,NP,M,94,0.18,0.12,0.12,9.23,9.17,9.32,96,137,83,9.34
595,1,P,M,82,0.15,0.17,0.23,8.83,9.22,9.14,96,86,91,8.7
596,22,P,M,101,0.17,0.17,0.17,9.2,9.13,9.17,96,100,97,9.01
597,22,P,NM,171,0.3,0.3,0.32,10.76,10.78,10.79,96,,,
598,23,NP,M,86,0.08,0.09,0.09,8.19,8.17,8.26,96,80,72,8.59
599,26,P,M,74,0.22,0.23,0.24,8.64,8.59,8.63,96,93,75,8.25
600,26,P,NM,169,0.32,0.32,0.33,11.3,11.42,11.38,96,,,
601,8,P,M,99,0.2,0.21,0.23,8.61,8.74,8.68,96,59,79,8.45
602,13,P,NM,67,0.18,0.2,0.21,8.25,8.27,8.36,96,,,
603,17,P,NM,100,0.29,0.29,0.29,9.33,9.37,9.41,96,,,
604,9,P,NM,108,0.26,0.24,0.26,9.91,10.08,9.52,83,,,
605,23,P,NM,258,0.07,0.07,0.08,12.64,12.63,12.68,96,,,
606,15,P,M,90,0.17,0.19,0.19,8.18,8.12,8.15,96,72,89,8.19
607,25,P,NM,238,0.39,0.38,0.39,12.16,12.18,12.28,96,,,
608,19,NP,NM,90,0.16,0.17,0.16,8.84,8.76,8.8,96,142,140,9.68
609,7,NP,M,64,0.17,0.18,0.16,8.09,8.06,7.97,96,74,67,8.03
610,27,P,M,53,0.15,0.16,0.18,7.5,7.58,7.51,96,83,51,7.66
611,29,P,NM,127,0.18,0.2,0.15,10.14,10.26,10.08,96,,,
612,12,NP,M,32,0.05,0.02,0.01,6.58,6.57,6.64,96,144,36,6.5
613,18,NP,NM,91,0.07,0.08,0.12,9.02,9.06,8.89,96,221,204,11.47
614,1,P,M,70,0.18,0.19,0.19,8.44,8.45,8.58,96,102,74,8.91
615,20,NP,NM,141,0.2,0.2,0.21,10.38,10.37,10.46,96,240,119,10.07
616,29,NP,M,112,0.1,0.1,0.08,9.34,9.34,9.41,96,32,20,5.9
617,23,NP,M,55,0.12,0.06,0.13,7.36,7.66,7.71,80,53,59,7.33
618,19,NP,M,46,0.16,0.16,0.17,6.9,6.71,6.9,96,67,38,6.82
619,14,NP,NM,164,0.2,0.19,0.18,11.28,11.26,11.32,96,,,
620,25,NP,M,88,0.1,0.12,0.12,8.67,8.69,8.71,96,95,78,8.77
621,2,NP,M,79,0.25,0.25,0.21,9.02,9.06,9.1,96,65,84,9.01
622,30,P,M,86,0.17,0.17,0.17,8.79,8.75,8.68,96,116,82,9.25
623,18,P,M,79,0.18,0.19,0.18,9.09,9.15,9.19,96,80,78,8.78
624,2,NP,NM,160,0.34,0.36,0.35,11.79,11.8,11.86,96,219,278,13.72
625,25,NP,M,66,0.21,0.23,0.24,7.57,7.47,7.6,96,59,60,7.78
626,23,P,NM,180,0.36,0.37,0.36,11.62,11.63,11.69,96,136,271,13.31
627,16,P,M,118,0.3,0.29,0.29,9.67,9.68,9.69,96,86,118,9.86
628,25,P,M,63,0.29,0.29,0.31,8.96,8.97,8.96,96,83,82,8.92
629,30,P,M,27,0.14,0.12,0.14,6.12,6.17,6.2,96,83,30,6.27
630,3,P,M,48,0.21,0.23,0.27,6.87,6.78,6.79,96,80,54,7.42
631,26,NP,NM,143,0.2,0.2,0.19,10.36,10.28,10.22,96,,,
632,9,NP,M,119,0.19,0.17,0.17,10.13,10.28,10.22,96,80,125,10.36
633,15,NP,M,38,0.05,0.01,0.05,6.31,6.38,6.33,96,59,26,5.66
634,26,NP,NM,48,0.14,0.13,0.14,7.51,7.53,7.51,96,167,108,9.59
635,9,NP,NM,123,0.07,0.06,0.07,9.96,9.97,9.96,96,111,124,10.2
636,19,P,M,61,0.15,0.14,0.15,7.67,7.77,7.86,96,83,61,7.97
637,12,P,M,47,0.25,0.25,0.26,6.75,6.81,6.76,96,80,46,7.1
638,14,NP,M,24,0.02,0.02,0.02,6.14,6.21,6.18,96,86,23,6.21
639,8,P,M,123,0.39,0.39,0.4,9.82,9.85,9.89,96,83,131,10.48
640,17,P,M,105,,,,9.69,9.63,9.69,96,80,108,10.24
641,12,NP,NM,107,0.27,0.25,0.26,9.7,9.6,9.61,96,80,110,9.88
642,9,P,NM,117,0.15,0.18,0.15,9.6,9.64,9.71,96,,,
643,19,P,NM,213,0.42,0.45,0.43,11.5,11.55,11.48,96,,,
644,8,P,M,147,0.26,0.26,0.25,9.86,9.83,9.81,96,39,68,8.35
645,23,P,M,94,0.25,0.26,0.25,9,9.02,8.63,80,80,94,9
646,10,P,NM,126,0.07,0.05,0.03,9.8,9.91,9.86,96,20,59,7.87
647,10,P,NM,175,0.3,0.29,0.29,11.48,11.43,11.47,96,59,100,9.27
648,26,P,NM,108,0.3,0.32,0.29,9.63,9.54,9.66,96,48,40,7.01
649,11,P,M,19,0.11,0.09,0.09,5.3,5.52,5.4,96,130,30,6.02
