BOX,FAMILY,PREDATOR,MATE,MASS,ST1,ST2,ST3,SL1,SL2,SL3,Age_Morph,AFR,SFR_Mass,SFR_SL
82,14,P,NM,147,0.16,0.18,0.17,11.49,11.44,11.47,93,,,
83,27,P,NM,133,0.31,0.34,0.32,10.61,10.62,10.56,93,172,177,11.63
84,8,P,NM,165,0.27,0.3,0.27,11.41,11.65,11.29,93,,,
85,26,NP,M,46,0.08,0.08,0.03,7.32,7.68,7.64,93,65,28,6.65
86,7,P,M,138,0.32,0.4,0.38,10.59,10.39,10.44,93,83,147,10.47
87,26,NP,NM,194,0.15,0.16,0.17,11.72,12.08,12.25,93,,,
88,16,P,NM,213,0.32,0.26,0.31,10.87,11.04,10.77,93,,,
89,8,P,NM,144,0.3,0.3,0.31,10.42,10.59,10.6,93,,,
90,26,P,M,73,0.22,0.22,0.22,8.77,9.1,9.1,93,100,76,8.66
91,11,P,M,101,0.22,0.22,0.21,9.51,9.54,9.29,93,80,98,9.41
92,16,NP,M,80,0.12,0.05,0.05,8.12,8.37,8.38,93,88,78,8.59
93,17,P,M,79,0.17,0.12,0.12,8.62,8.9,8.86,93,100,79,8.57
94,19,P,M,61,0.11,0.25,0.18,7.99,8.84,8.28,93,93,61,7.99
95,19,P,M,103,0.17,0.13,0.13,9.07,9.47,9.43,93,80,99,9.56
96,3,NP,NM,147,0.12,0.14,0.14,11,10.8,10.97,93,,,
97,17,NP,NM,41,0.12,0.11,0.13,6.67,6.64,6.7,93,,,
98,13,NP,M,111,0.15,0.13,0.08,10.32,10,10,93,116,105,9.63
99,25,P,NM,230,0.3,0.3,0.33,12.58,12.54,12.3,93,,,
100,11,NP,M,43,0.02,0.02,0.03,7.07,7.15,7.11,93,83,41,7.4
101,21,P,M,68,0.15,0.15,0.18,8.5,8.59,8.35,93,86,71,8.35
102,26,NP,NM,149,0.3,0.23,0.26,10.45,10.83,10.5,93,,,
103,16,NP,NM,152,0.19,0.21,0.16,10.66,10.86,10.76,93,,,
104,15,P,M,95,0.12,0.15,0.1,8.52,8.82,8.57,93,80,91,8.78
105,12,P,NM,39,0.05,0.05,0.05,7.19,6.84,6.86,93,,,
106,19,P,M,129,0.27,0.22,0.25,9.96,9.93,9.93,93,100,118,10.02
107,28,P,NM,150,0.3,0.3,0.3,10.68,10.93,10.68,93,100,147,9.51
108,7,P,M,120,0.27,0.35,0.29,10.17,9.89,10.36,93,93,120,9.39
109,21,NP,NM,105,0.3,0.26,0.22,9.94,9.96,10.55,93,,,
110,24,NP,M,32,0.04,0.15,0.02,6.52,6.48,6.19,93,67,13,5.3
111,19,P,NM,229,0.29,0.3,0.29,12.09,12.15,11.98,93,,,
112,26,P,M,142,0.22,0.19,0.21,10.55,10.6,10.52,93,114,132,10.36
113,25,NP,M,36,0.08,0.29,0.09,7.26,7.12,7.2,93,,,
114,27,P,M,76,0.27,0.2,0.29,9.29,9.47,9.27,76,59,83,9.02
115,15,NP,NM,134,0.21,0.06,0.22,10.45,10.4,10.47,93,156,251,13.37
116,23,NP,M,137,0.11,0.36,0.08,11.16,11.16,10.84,93,30,26,6.39
117,10,P,M,145,0.25,0.1,0.29,9.8,10.19,10.34,93,88,113,10.22
118,5,P,M,23,0.1,0.19,0.08,5.77,5.72,5.81,93,116,35,6.65
119,26,NP,NM,145,0.16,0.13,0.19,10.46,10.3,10.38,93,258,150,11.35
120,28,P,M,113,0.12,0.37,0.13,9.25,9.59,9.73,93,93,110,9.92
121,12,P,NM,132,0.37,0.26,0.38,10.17,9.89,10.24,93,74,120,9.73
122,1,P,NM,79,0.26,0.2,0.26,8.42,8.46,8.34,93,120,109,9.45
123,21,P,M,97,0.23,0.16,0.2,8.76,8.96,9.02,93,20,71,7.84
124,7,P,M,114,0.17,0.12,0.21,9.99,10.09,9.78,93,,,
125,16,P,M,76,0.14,0.24,0.17,8.55,8.99,8.61,93,,,
126,24,P,M,114,0.2,0.14,0.24,9.43,9.78,9.62,93,123,117,10.25
127,28,NP,NM,90,0.12,0.05,0.12,9.39,9.4,9.42,93,165,126,9.82
128,17,NP,M,23,0.04,0.22,0.04,6.06,6.17,6.19,86,83,40,6.47
129,10,P,M,109,0.22,0.22,0.22,9.65,9.76,10.13,93,59,101,9.47
130,15,P,NM,141,0.35,0.32,0.32,10.18,10.57,10.58,93,,,
131,10,NP,M,155,0.09,0.08,0.11,11.15,11.06,10.9,93,30,11,5.02
132,28,NP,M,106,0.18,0.14,0.17,9.16,9.4,9.13,93,102,105,9.23
133,25,P,NM,228,0.36,0.37,0.4,12.22,12,12.14,93,,,
134,15,NP,M,132,0.08,0.13,0.15,10.41,10.15,10.18,93,88,132,10.41
