"Species_Tree","Family","Diet","CS","Ln.CS","N.specim","Proc_c1","Proc_c2","Proc_c3","Proc_c4","Proc_c5","Proc_c6","Proc_c7","Proc_c8","Proc_c9","Proc_c10","Proc_c11","Proc_c12","Proc_c13","Proc_c14","Proc_c15","Proc_c16","Proc_c17","Proc_c20","Proc_c21","Proc_c22","Proc_c23","Proc_c26","Proc_c27","Proc_c32","Proc_c33","Proc_c34","Proc_c35","Proc_c36"
"Saguinus_bicolor","Callitrichidae","FR",5.0277,1.615,2,-0.350168779,0.04741304,-0.295188728,0.048743578,-0.170087873,0.041004328,-0.120508275,0.04147618,-0.069762891,0.04001197,-0.011793396,0.042962758,0.172178981,0.225258707,0.15847157,0.141220289,0.244958112,0.107242229,-0.01361033,-0.152565992,-0.062552492,-0.119550288,-0.296392036,-0.197560066,0.234064732,-0.192122902,0.274531337,-0.124418113
"Saguinus_fuscicollis","Callitrichidae","FR",4.3345,1.4666,6,-0.37100628,0.048207555,-0.312327391,0.044964572,-0.166104067,0.037245629,-0.107342743,0.038373301,-0.056086875,0.032809233,-0.01941941,0.036513207,0.163206167,0.2206206,0.185142828,0.118233685,0.250650191,0.096628978,-0.0226157,-0.129212777,-0.056721402,-0.120173903,-0.315282325,-0.173772085,0.233283586,-0.159738997,0.265769106,-0.114145994
"Saguinus_imperator","Callitrichidae","FR",4.9677,1.603,5,-0.358032364,0.050966972,-0.306490109,0.056361319,-0.169499414,0.030497886,-0.115165747,0.025188147,-0.061485642,0.022881729,-0.008029263,0.028153595,0.162797857,0.212086269,0.178154984,0.12473325,0.253259615,0.106562458,-0.015964366,-0.140397848,-0.071216722,-0.119400981,-0.31566595,-0.172066838,0.228833328,-0.155865158,0.264991252,-0.109205013
"Saguinus_midas","Callitrichidae","FR",4.8613,1.5813,6,-0.364025472,0.048734718,-0.307113314,0.05373293,-0.161960801,0.028266329,-0.100953287,0.02813433,-0.054027157,0.032352836,-0.021001563,0.036845727,0.168488983,0.21579448,0.181790609,0.135872887,0.247817951,0.10888004,-0.024695718,-0.14197834,-0.059467858,-0.122449483,-0.310111392,-0.177932847,0.230550789,-0.170012092,0.268463265,-0.115306633
"Saguinus_mystax","Callitrichidae","FR",4.8892,1.587,6,-0.358446405,0.048109155,-0.298992438,0.055281519,-0.171723581,0.03915641,-0.119578238,0.035412253,-0.068260104,0.031897386,-0.009183636,0.042724099,0.162718029,0.222212444,0.188944832,0.129096347,0.254466955,0.096470165,-0.010314461,-0.146697271,-0.06687688,-0.128242195,-0.302385976,-0.179245055,0.21587695,-0.15966597,0.259558369,-0.116530186
"Saimiri_sciureus","Cebidae","FR",5.1065,1.6305,6,-0.375792129,0.054764631,-0.317969293,0.070020315,-0.178029894,0.044899536,-0.117200941,0.034228088,-0.060813111,0.033424809,0.007584129,0.030828097,0.160802426,0.176974974,0.191224783,0.112206582,0.248168635,0.078423948,-0.002119376,-0.136528147,-0.072023451,-0.126301979,-0.329652728,-0.146264124,0.23817201,-0.131208144,0.27358766,-0.068009559
"Saimiri_ustus","Cebidae","FR",5.3209,1.6716,6,-0.373319692,0.067474372,-0.31331527,0.071727472,-0.175309335,0.039659705,-0.116943914,0.02961963,-0.063461644,0.027466711,0.010842582,0.034972173,0.153965561,0.177032028,0.196288809,0.120663317,0.255044511,0.08907675,0.003327111,-0.137959606,-0.070769556,-0.133904769,-0.323483933,-0.154586771,0.224530899,-0.131811854,0.262740616,-0.08183184
"Arctocebus_calabarensis","Lorisidae","I",3.4132,1.2277,1,-0.361416042,-0.002734175,-0.328738216,0.02646023,-0.256891095,0.040661784,-0.17698563,0.040757475,-0.096963966,0.040954756,0.051771798,0.047705077,0.189689846,0.16432077,0.206464804,0.097749399,0.270219915,0.048300554,0.070767988,-0.094155966,-0.077754054,-0.112009145,-0.31374587,-0.115463191,0.215343896,-0.108326066,0.232828392,-0.085410275
"Loris_tardigradus","Lorisidae","I",4.4457,1.4919,3,-0.346846826,0.016367047,-0.314151854,0.03276643,-0.220631761,0.031040422,-0.163847657,0.029519156,-0.096697683,0.028708766,0.021835062,0.050052799,0.178342983,0.202810433,0.18334187,0.09352261,0.245017863,0.065399409,0.031544428,-0.112693846,-0.087469422,-0.098152804,-0.303986562,-0.158472932,0.253819623,-0.146899783,0.279236471,-0.08941296
"Nycticebus_coucang","Lorisidae","I",5.959,1.7849,4,-0.359415463,0.024980223,-0.295859261,0.040623805,-0.205753107,0.043493366,-0.142642929,0.042507324,-0.078446592,0.048084998,0.004231946,0.056512297,0.150053557,0.226478276,0.185852533,0.110460889,0.260265676,0.060645708,0.02163214,-0.148237108,-0.061142844,-0.101574651,-0.281388132,-0.168226472,0.233812808,-0.158033096,0.284369655,-0.102273712
"Nycticebus_pygmaeus","Lorisidae","I",4.7965,1.5679,2,-0.354718128,0.027656564,-0.295839299,0.035260493,-0.214741355,0.041570528,-0.153863777,0.039500569,-0.09118924,0.035630007,0.012154191,0.036683753,0.165602377,0.229898863,0.198369268,0.100172986,0.257742254,0.048748584,0.017305403,-0.136238695,-0.085676498,-0.096025053,-0.29171153,-0.150862059,0.243574911,-0.133330419,0.284741005,-0.103731912
"Perodicticus_potto","Lorisidae","FR",6.1552,1.8173,7,-0.349416443,0.018415747,-0.310535572,0.0348481,-0.207924202,0.034283789,-0.148645391,0.031296742,-0.083580422,0.033335794,-0.010764555,0.043242714,0.18185914,0.227916854,0.193273371,0.094694308,0.244423808,0.051212808,-0.008060841,-0.115193137,-0.07906678,-0.101294892,-0.299499124,-0.156687082,0.259800211,-0.141215236,0.290921333,-0.091158247
"Cacajao_calvus","Pitheciidae","FR",9.6862,2.2707,6,-0.349675155,0.058824993,-0.277996655,0.065338266,-0.151149252,0.054362407,-0.100284502,0.05220298,-0.053282132,0.057652549,-0.015399718,0.054572697,0.180217249,0.224942445,0.199185786,0.166034746,0.251655569,0.122003998,-0.018693495,-0.192134661,-0.056024373,-0.164561068,-0.28161613,-0.213649504,0.172754462,-0.19534122,0.243603458,-0.081447741
"Callicebus_moloch","Pitheciidae","FR",6.9613,1.9404,5,-0.312112066,0.052293101,-0.275915835,0.058446177,-0.174206646,0.046953002,-0.120482088,0.044648491,-0.064470877,0.048370354,0.006920294,0.056116574,0.209850198,0.240756416,0.173994406,0.162894854,0.219185097,0.149217044,-3.80459e-05,-0.223043388,-0.059460637,-0.145222952,-0.274273562,-0.240582958,0.187975937,-0.220975346,0.254498825,-0.084598669
"Callicebus_personatus","Pitheciidae","FR",8.0133,2.0811,6,-0.320532811,0.059282389,-0.28181444,0.062740119,-0.178814416,0.055591882,-0.121705072,0.050015945,-0.062961035,0.054365877,0.016049692,0.06319291,0.179220065,0.219024574,0.160714985,0.145357206,0.218048566,0.13432564,0.01948862,-0.228908122,-0.059152996,-0.134831533,-0.280405878,-0.241356858,0.211608353,-0.21083036,0.277188328,-0.0766204
"Chiropotes_satanas","Pitheciidae","FR",9.1607,2.2149,10,-0.337789504,0.072882449,-0.265662164,0.075134673,-0.14681562,0.051010704,-0.099381442,0.051833489,-0.054917171,0.056859792,-0.006386438,0.060634757,0.169351183,0.221390696,0.182161988,0.17036669,0.242851416,0.1413394,-0.014403074,-0.217866086,-0.061744757,-0.170679815,-0.270385176,-0.239966459,0.166424475,-0.214271587,0.253231185,-0.077056401
"Pithecia_irrorata","Pitheciidae","FR",8.6405,2.1565,6,-0.338857765,0.060011492,-0.276521809,0.0699146,-0.15125619,0.047761073,-0.100496526,0.047144428,-0.057160112,0.05061444,0.000927939,0.053446252,0.178647589,0.226779606,0.177393234,0.163805395,0.244055869,0.131897007,-0.012651163,-0.203243881,-0.071108418,-0.163550468,-0.282818815,-0.215798794,0.188746453,-0.203124418,0.259034305,-0.076416436
