code	sex	shell.h	shell.w	aperture.h	aperture.w	whorl.w	rib.n	band.u	band.m	band.l	band.u.l	band.m.l	band.l.l	locality	image	country	canton	locality	altitude	coordinates.DD	depository	date of collecting	collector
002f21	female	7502	3837	2657	2536	3087	32	1	1	1	1	1	2	2	f083	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m01 	male	7188	4003	2629	2546	3277	31	1	1	2	1	1	2	2	m035	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m02	male	7178	4119	2754	2670	3258	25	1	1	1	1	1	2	2	m044	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m03 	male	7192	3865	2587	2374	3101	27	1	1	1	1	1	0	2	m045	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m04	male	7035	3971	2652	2647	3207	31	1	1	1	1	1	2	2	m046	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m05 	male	6674	3823	2532	2573	3004	30	1	1	1	1	1	2	2	m047	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m06	male	7470	4027	2837	2694	3184	27	1	1	2	1	1	2	2	m048	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m07 	male	7252	3952	2629	2407	3166	27	1	1	1	1	1	1	2	m049	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m08	male	6739	3855	2606	2439	3087	29	1	1	1	1	1	2	2	m050	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m09 	male	7345	3994	2721	2555	3166	31	1	1	1	1	1	2	2	m051	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m10	male	7419	3869	2689	2564	3198	29	1	1	1	1	1	2	2	m052	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m11 	male	7040	3837	2513	2481	3124	33	1	1	1	1	1	1	2	m053	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m12	male	6623	3920	2564	2564	3124	26	1	1	1	1	1	0	2	m054	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
